9,child in a pink dress is climbing up a set of stairs in an entry way .
2,girl going into a wooden building .
2,little girl climbing into a wooden playhouse .
7,little girl climbing the stairs to her playhouse .
3,little girl in a pink dress going into a wooden cabin .
8,black dog and a spotted dog are fighting
8,black dog and a tri-colored dog playing with each other on the road .
8,black dog and a white dog with brown spots are staring at each other in the street .
7,dogs of different breeds looking at each other on the road .
2,dogs on pavement moving toward each other .
9,little girl covered in paint sits in front of a painted rainbow with her hands in a bowl .
9,little girl is sitting in front of a large painted rainbow .
4,small girl in the grass plays with fingerpaints in front of a white canvas with a rainbow on it .
9,is a girl with pigtails sitting in front of a rainbow painting .
6,girl with pigtails painting outside in the grass .
0,man lays on a bench while his dog sits by him .
0,man lays on the bench to which a white dog is also tied .
8,man sleeping on a bench outside with a white and black dog sitting next to him .
0,shirtless man lies on a park bench with his dog .
0,laying on bench holding leash of dog sitting on ground
2,man in an orange hat starring at something .
2,man wears an orange hat and glasses .
5,man with gauges and glasses is wearing a Blitz hat .
5,man with glasses is wearing a beer can crocheted hat .
5,man with pierced ears is wearing glasses and an orange hat .
0,child playing on a rope net .
2,little girl climbing on red roping .
4,little girl in pink climbs a rope bridge at the park .
7,small child grips onto the red ropes at the playground .
0,small child climbs on a red ropes on a playground .
8,black and white dog is running in a grassy garden surrounded by a white fence .
8,black and white dog is running through the grass .
6,Boston terrier is running in the grass .
9,Boston Terrier is running on lush green grass in front of a white fence .
1,dog runs on the green grass near a wooden fence .
1,dog shakes its head near the shore , a red ball next to it .
1,white dog shakes on the edge of a beach with an orange ball .
5,with orange ball at feet , stands on shore shaking off water
7,dog playing with a red ball on the shore near the water .
5,dog with brown ears standing near water with head turned to one side .
9,boy smiles in front of a stony wall in a city .
0,little boy is standing on the street while a man in overalls is working on a stone wall .
7,young boy runs aross the street .
3,young child is walking on a stone paved street with a metal pole and a man behind him .
9,boy in white shirt and blue jeans in front of rock wall with man in overalls behind him .
1,black dog leaps over a log .
1,grey dog is leaping over a fallen tree .
1,large black dog leaps a fallen log .
8,mottled black and grey dog in a blue collar jumping over a fallen tree .
7,black dog jumped the tree stump .
8,brown and white dog is running through the snow .
6,dog is running in the snow
1,dog running through snow .
8,white and brown dog is running through a snow covered field .
7,white and brown dog is running over the surface of the snow .
3,man in a hat is displaying pictures next to a skier in a blue hat .
6,man skis past another man displaying paintings in the snow .
6,person wearing skis looking at framed pictures set up in the snow .
6,skier looks at framed pictures in the snow next to trees .
6,on skis looking at artwork for sale in the snow
2,collage of one person climbing a cliff .
0,group of people are rock climbing on a rock climbing wall .
2,group of people climbing a rock while one man belays
7,climbers are ascending a rock face whilst another man stands holding the rope .
4,climbers in a row are climbing the rock while the man in red watches and holds the line .
0,brown dog chases the water from a sprinkler on a lawn .
7,brown dog plays with the hose .
0,brown dog running on a lawn near a garden hose
1,dog is playing with a hose .
6,brown dog running away from the sprinkler in the grass .
3,dog prepares to catch a thrown object in a field with nearby cars .
1,white dog is about to catch a yellow ball in its mouth .
1,white dog is about to catch a yellow dog toy .
1,white dog is ready to catch a yellow ball flying through the air .
1,white dog running after a yellow ball
8,black and white dog jumping in the air to get a toy .
8,black and white dog jumps up towards a yellow toy .
3,dog leaps to catch a ball in a field .
3,white dog is trying to catch a ball in midair over a grassy field .
3,white dog is playing in a green field with a yellow toy .
3,child and a woman are at waters edge in a big city .
5,large lake with a lone duck swimming in it with several people around the edge of it .
3,little boy at a lake watching a duck .
4,young boy waves his hand at the duck in the water surrounded by a green park .
7,people are at the edge of a lake , facing the water and the city skyline .
3,couple and an infant , being held by the male , sitting next to a pond with a near by stroller .
0,couple sit on the grass with a baby and stroller .
3,couple with their newborn baby sitting under a tree facing a lake .
9,man and woman care for an infant along the side of a body of water .
5,with a baby sit outdoors next to their stroller .
6,black dog running in the surf .
6,black lab with tags frolicks in the water .
6,dog splashes in the water
7,black dog runs through the water .
4,is a black dog splashing in the water .
4,man drilling a hole in the ice .
7,man is drilling through the frozen ice of a pond .
4,person in the snow drilling a hole in the ice .
0,person standing on a frozen lake .
2,men are ice fishing .
7,different breeds of brown and white dogs play on the beach .
0,dogs are making a turn on a soft sand beach .
6,dogs playing in the sand at the beach .
0,dogs playing together on a beach .
2,large tan dogs play along a sandy beach .
2,man uses ice picks and crampons to scale ice .
3,ice climber in a blue jacket and black pants is scaling a frozen ice wall .
2,ice climber scaling a frozen waterfall .
5,person in blue and red ice climbing with two picks .
2,climbing an ice wall
1,black dog carries a green toy in his mouth as he walks through the grass .
7,black dog carrying something through the grass .
1,black dog has a blue toy in its mouth .
4,dog in grass with a blue item in his mouth .
1,wet black dog is carrying a green toy through the grass .
3,man and a baby are in a yellow kayak on water .
3,man and a little boy in blue life jackets are rowing a yellow canoe .
2,man and child kayak through gentle waters .
2,man and young boy ride in a yellow kayak .
2,and child in yellow kayak
8,black dog and a brown dog are jumping up to catch a red toy .
3,black dog and a brown dog play with a red toy on a courtyard .
8,brown and black lab are outside and the black lab is catching a toy in its mouth .
8,dog snaps at red and black object as brown dog lunges .
6,Chocolate Lab jumps too late to get the toy as the Black Lab captures it in the driveway .
9,boy with a stick kneeling in front of a goalie net
3,child in a red jacket playing street hockey guarding a goal .
4,young kid playing the goalie in a hockey rink .
9,young male kneeling in front of a hockey goal with a hockey stick in his right hand .
5,goalie boy in red jacket crouches by goal , with stick .
9,man in black is sitting next to a modern art structure in front of a glass building .
3,man sits and reads a newspaper by a sculpture outside of an office building .
2,man sits near a large statue .
9,man sitting in front of a metal sculpture in front of a building .
9,man with the backpack is sitting in a buildings courtyard in front of an art sculpture reading .
7,tent is being set up on the ice .
0,men are about to enter an ice fishing tent on a snow covered lake .
0,men setting up a blue ice fishing hut on an iced over lake
5,men , standing on an ice , looking into something covered with a blue tarp .
0,people standing outside a blue tent structure on a snowy surface .
2,woman crouches near three dogs in a field .
5,dogs are playing on grassy hill with a blue sky .
4,dogs are standing in the grass and a person is sitting next to them
0,dogs on a grassy hill
3,dogs stand in a grassy field while a person kneels nearby .
9,man is standing in front of a skyscraper
9,man stands in front of a skyscraper .
9,man stands in front of a very tall building .
4,the man in a red shirt stands a large skyscraper .
4,is a skyscraper in the distance with a man walking in front of the camera .
2,boy bites hard into a treat while he sits outside .
2,child biting into a baked good .
5,small boy putting something in his mouth with both hands .
7,boy eats his food outside at the table .
2,boy is eating pizza over a tin dish .
7,sit on the mountainside and check out the view .
0,people are on a hilltop overlooking a green valley .
0,people hang out on top of a big hill .
2,people overlook a green valley .
0,people rest on a ledge above the moutains .
2,boy in a green shirt is looking down at many inflatable boats .
2,boy in a green shirt watches kayakers .
4,boy looks over a railing at the many boats and rafts below in the water .
2,young boy overlooking a crowd of inflatable boats .
4,young boy wearing a jersey looks down over a ledge at many boats in the water .
7,man and woman pose for the camera while another man looks on .
9,man is holding the hand of a woman up to his mouth in front of some buildings while another man looks on .
2,multiracial couple posing for a picture
2,man and blond woman holding hands outdoors , man in background watches .
6,in blue shirt biting hand of girl in black striped jacket while another guy watches
2,person eats takeout while watching a small television .
9,person sits on the floor and eats in front of a television .
0,television with a picture of a girl on it .
4,young man sits on the floor by the television with a fast food meal in front of him .
6,is laying in front of the TV eating food .
0,couple of several people sitting on a ledge overlooking the beach
0,group of people sit on a wall at the beach .
0,group of teens sit on a wall by a beach .
7,of people at the beach .
0,young people sitting on a rail above a crowded beach .
